Doctor;'t01Night';'t01Nursery';'t01SurgeryAfternoon';'t01SurgeryMorning';'t01Ward';'t02Night';'t02Nursery';'t02SurgeryAfternoon';'t02SurgeryMorning';'t02Ward';'t03Night';'t03Nursery';'t03SurgeryAfternoon';'t03SurgeryMorning';'t03Ward';'t04Night';'t04Nursery';'t04SurgeryAfternoon';'t04SurgeryMorning';'t04Ward';'t05Night';'t05Nursery';'t05SurgeryAfternoon';'t05SurgeryMorning';'t05Ward';'t06Night';'t06Surgery';'t07Night';'t07Surgery';'t08Night';'t08Nursery';'t08SurgeryAfternoon';'t08SurgeryMorning';'t08Ward';'t09Night';'t09Nursery';'t09SurgeryAfternoon';'t09SurgeryMorning';'t09Ward';'t10Night';'t10Nursery';'t10SurgeryAfternoon';'t10SurgeryMorning';'t10Ward';'t11Night';'t11Nursery';'t11SurgeryAfternoon';'t11SurgeryMorning';'t11Ward';'t12Night';'t12Nursery';'t12SurgeryAfternoon';'t12SurgeryMorning';'t12Ward';'t13Night';'t13Surgery';'t14Night';'t14Surgery';'t15Night';'t15Nursery';'t15SurgeryAfternoon';'t15SurgeryMorning';'t15Ward';'t16Night';'t16Nursery';'t16SurgeryAfternoon';'t16SurgeryMorning';'t16Ward';'t17Night';'t17Nursery';'t17SurgeryAfternoon';'t17SurgeryMorning';'t17Ward';'t18Night';'t18Nursery';'t18SurgeryAfternoon';'t18SurgeryMorning';'t18Ward';'t19Night';'t19Nursery';'t19SurgeryAfternoon';'t19SurgeryMorning';'t19Ward';'t20Night';'t20Surgery';'t21Night';'t21Surgery';'t22Night';'t22Nursery';'t22SurgeryAfternoon';'t22SurgeryMorning';'t22Ward';'t23Night';'t23Nursery';'t23SurgeryAfternoon';'t23SurgeryMorning';'t23Ward';'t24Night';'t24Nursery';'t24SurgeryAfternoon';'t24SurgeryMorning';'t24Ward';'t25Night';'t25Nursery';'t25SurgeryAfternoon';'t25SurgeryMorning';'t25Ward';'t26Night';'t26Nursery';'t26SurgeryAfternoon';'t26SurgeryMorning';'t26Ward';'t27Night';'t27Surgery';'t28Night';'t28Surgery'
'd00',;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'd01',;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
'd02',;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
'd03',;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
'd04',;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'd05',;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1
'd06',;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
'd07',;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
'd08',;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
'd09',;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
